Name,City,STATE,Amount, EndingDate, ValidDateRange,Most snow in 1 day, 1 day DATE,Most snow in 2 days,2 days DATE,Most snow in 3 days QTY,3 days DATE,First 2 inches
TULSA INTL AP,Tulsa,OK,29.1, 1958-12-31 , 1931-01-01 to 2017-06-06,13.2, 2011-02-01 ,14, 2011-02-01 ,14, 2011-02-02,11/5/1951
MEDFORD ROGUE VLY AP,Medford,OR,24.1, 1930-12-31 , 1911-04-01 to 2017-06-06,11, 1919-12-11 ,11.2, 1917-02-21 ,11.9, 1917-02-21 ,11/10/1911
EUGENE MAHLON SWEET AP,Eugene,OR,47.1, 1969-12-31 , 1938-06-01 to 2017-06-06,14, 1969-01-25 ,27.9, 1969-01-26 ,37.9, 1969-01-27 ,11/16/1955
ASTORIA RGNL AP,Astoria,OR,27.3, 1969-12-31 , 1953-01-16 to 2017-06-06,10.8, 1971-01-12 ,13.2, 1971-01-12 ,,,11/16/1955
PORTLAND INTL AP,Portland,OR,44.5, 1950-12-31 , 1939-02-01 to 2017-06-06,14.4, 1943-01-21 ,15.9, 1943-01-21 ,15.9, 1943-01-22,11/16/1955
PENDLETON E OR RGNL AP,Pendleton,OR,52.7, 1950-12-31 , 1928-01-01 to 2017-06-06,16.1, 1994-02-24 ,16.1, 1994-02-25,16.1, 1994-02-26,10/31/1973
PHILA INTL AP,Philadelphia,PA,67.3, 2010-12-31 , 1940-06-20 to 2017-06-06,27.6, 1996-01-07 ,30.7, 1996-01-08 ,31, 1996-01-09 ,10/10/1979
MIDDLETOWN HARRISBURG INTL AP,Harrisburg,PA,76, 1994-12-31 , 1941-02-02 to 2017-06-06,26.4, 2016-01-23 ,30.2, 2016-01-23 ,30.3, 2016-01-23 ,10/29/2011
PITTSBURGH ASOS,Pittsburgh,PA,78.8, 2010-12-31 , 1948-01-01 to 2017-06-06,23.6, 1993-03-13 ,24.6, 1993-03-13 ,27.4, 1950-11-26 ,10/31/1993
WILLIAMSPORT RGNL AP,Williamsport,PA,77.3, 1994-12-31 , 1945-01-01 to 2017-06-06,20, 1972-02-19 ,24.1, 1964-01-13 ,24.1, 1964-01-14,11/2/1954
ERIE INTL AP,Erie,PA,165.7, 2008-12-31 , 1926-01-01 to 2017-06-06,20, 1956-11-22 ,26.5, 1944-12-12 ,30.2, 2001-12-31 ,10/19/1930
Avoca Area,Avoca,PA,81.5, 1994-12-31 , 1901-01-01 to 2017-06-06,22.1, 2017-03-14 ,23.6, 2017-03-15 ,23.9, 2017-03-15 ,10/26/1992
PROVIDENCE,Providence,RI,82.3, 1945-12-31 , 1932-06-01 to 2017-06-06,18.3,2/4/1961,28.6,2/7/1978,28.6,2/8/1978,11/4/1945
COLUMBIA METRO AP,Columbia,SC,18.2, 1973-12-31 , 1948-01-01 to 2017-06-06,12.3, 1973-02-10 ,16, 1973-02-10 ,16, 1973-02-11,12/11/1958
GRNVL SPART INTL AP,Greenville,SC,19, 1971-12-31 , 1962-10-15 to 2017-06-06,12, 1988-01-07 ,12, 1988-01-08,12, 1988-01-09,11/19/2000
CHARLESTON INTL AP,Charleston,SC,8.9, 1989-12-31 , 1938-03-01 to 2017-06-06,6, 1989-12-23 ,7.5, 1989-12-23 ,8, 1989-12-24 ,12/15/1943
SIOUX FALLS FOSS FLD,Sioux Falls,SD,78.2, 1983-12-31 , 1893-01-01 to 2017-06-06,18.1, 1956-03-10 ,31.8, 1962-02-18 ,32.2, 1962-02-18 ,10/1/1999
HURON RGNL AP,Huron,SD,80.5, 1985-12-31 , 1888-04-09 to 2017-06-06,19, 2002-03-14 ,24.1, 1985-03-03 ,25.6, 1985-03-04 ,10/1/1999
LEAD,Lead,SD,326.7, 2008-12-31 , 1909-03-01 to 2017-06-06,52, 1973-03-14 ,59.4, 2006-04-19 ,74.1, 1998-02-27 ,
RAPID CITY REGIONAL AP,Rapid City,SD,100.5, 2013-12-31 , 1948-05-01 to 2017-06-06,20, 2013-04-09 ,25.7, 2013-04-10 ,28.2, 2013-04-10 ,9/13/1970
ABERDEEN RGNL AP,Aberdeen,SD,95.6, 1937-12-31 , 1893-01-01 to 2017-06-06,25, 1894-04-07 ,25, 1894-04-08,25, 1894-04-09,10/7/1970
CHATTANOOGA LOVELL AP,Chattanooga,TN,22.7, 1993-12-31 , 1938-04-01 to 2017-06-06,18.5, 1993-03-13 ,20, 1993-03-13 ,20, 1993-03-14,11/24/1950
MEMPHIS INTL AP,Memphis,TN,23.8, 1968-12-31 , 1940-01-01 to 2017-06-06,14.3, 1963-12-22 ,16.1, 1968-03-22 ,17.3, 1968-03-23 ,12/13/1958
OAK RIDGE ATDD,Oak Ridge,TN,42.5, 1960-12-31 , 1948-08-01 to 2017-04-30,12, 1960-03-09 ,12, 1993-03-13,15.7, 1960-03-11 ,
CROSSVILLE MEM AP,Crossville,TN,54.7, 1960-12-31 , 1954-04-21 to 2017-06-06,18, 1993-03-13 ,20.5, 1993-03-13 ,20.5, 1993-03-14,11/2/1966
NASHVILLE INTL AP,Nashville,TN,38.7, 1960-12-31 , 1940-01-01 to 2017-06-06,8.2, 1968-03-22 ,10.2, 1964-01-01,10.5, 1979-02-08 ,11/2/1966
KNOXVILLE MCGHEE TYSON AP,Knoxville,TN,54.4, 1960-12-31 , 1910-01-01 to 2017-06-06,17.5, 1960-02-13 ,18.8, 1960-02-14 ,18.8, 1960-02-15,11/21/1952
DALLAS FAA AP,Dallas,TX,14.1, 1978-12-31 , 1939-08-01 to 2017-06-06,7.8, 2010-02-11 ,8.8, 2010-02-12 ,8.8, 2010-02-13,11/13/1976
BROWNSVILLE INTL AP,Brownsville,TX,1.5, 2004-12-31 , 1898-12-01 to 2017-06-06,1.5, 2004-12-25 ,1.5, 2004-12-26,1.5, 2004-12-27,
SAN ANTONIO INTL AP,San Antonio,TX,15.9, 1985-12-31 , 1946-09-01 to 2017-06-06,13.2, 1985-01-12 ,13.5, 1985-01-13 ,13.5, 1985-01-14,1/2/1985
HOUSTON HOBBY AP,Houston,TX,4.4, 1960-12-31 , 1932-03-10 to 2017-06-06,4.4, 1960-02-12 ,4.4, 1960-02-13,4.4, 1960-02-14,1/11/1973
AUSTIN-CAMP MABRY,Austin,TX,8.7, 1985-12-31 , 1938-06-01 to 2017-06-06,6.5, 1949-01-30 ,7, 1944-01-14 ,7, 1944-01-15,11/8/1955
EL PASO INTL AP,El Paso,TX,32.7, 1987-12-31 , 1942-12-01 to 2017-06-06,14.5, 1987-12-13 ,22.4, 1987-12-14 ,22.4, 1987-12-15,11/7/1990
MIDLAND INTL AP,Midland,TX,12.1, 1992-12-31 , 1933-02-10 to 2017-06-06,10.6, 2012-01-09 ,10.6, 2012-01-10,10.6, 2012-01-11,11/8/1968
ABILENE RGNL AP,Abilene,TX,18.6, 1983-12-31 , 1944-03-01 to 2017-06-06,9.3, 1996-04-05 ,9.3, 1996-04-06,9.3, 1996-04-07,11/8/2000
LUBBOCK INTL AP,Lubbock,TX,36.3, 1983-12-31 , 1947-01-01 to 2017-06-06,12.1, 1961-02-20 ,16.9, 1983-01-21 ,16.9, 1983-01-22,10/28/1976
WICHITA FALLS MUNI AP,Wichita Falls,TX,20, 1905-12-31 , 1897-01-01 to 2017-06-06,9.8, 1925-01-18 ,9.9, 1989-03-05 ,9.9, 1989-03-06,11/1/1951
